건물명,특수지명,블록,로트,용도코드,용도코드명,구조코드,구조코드명,주건축물수,연면적(㎡),총세대수(세대),철거멸실구분코드,철거멸실구분코드명,철거시작일,철거종료일,철거멸실일,건축허가일,착공예정일,착공일,사용검사일,사용검사예정일,생성일자,순번,대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리주택대장PK
,,,,,,,,0,0,0,,,,,,20160513,20160519,,,20160529,20160514,98,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100011847
,,,,,,,,0,0,0,,,,,,20160518,,,,,20160519,99,서울특별시 광진구 구의동 546-7번지,11215,10300,0,0546,0007,11215-100011866
,,,,,,,,0,0,0,,,,,,20160520,,,,,20160524,100,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100011905
,,,,,,,,0,0,0,,,,,,20160524,20160526,,,20160626,20160526,101,서울특별시 광진구 구의동 587-54번지,11215,10300,0,0587,0054,11215-100011925
,,,,,,,,0,0,0,,,,,,20160601,,,,,20160604,102,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100011985
,,,,,,,,0,0,0,,,,,,20160621,,,,,20160622,103,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100012086
,,,,,,,,0,0,0,,,,,,20160719,20160723,,,20160803,20160720,104,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100012206
,,,,,,,,0,0,0,,,,,,20160725,,,20161021,,20161022,105,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100012226
,,,,,,,,0,0,0,,,,,,20160725,,,20180201,,20180207,106,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100012228
,,,,,,,,0,0,0,,,,,,20160727,,,20180208,20160812,20180209,107,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100012247
,,,,,,,,0,0,0,,,,,,20160816,,,20170922,,20170923,108,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100012326
,,,,,,,,0,0,0,,,,,,20160819,,,20170920,20160909,20170921,109,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100012366
,,,,,,,,0,0,0,,,,,,20160826,,,,,20160827,110,서울특별시 광진구 구의동 610번지,11215,10300,0,0610,0000,11215-100012406
,,,,,,,,0,0,0,,,,,,20160902,,,20161027,,20161028,111,서울특별시 광진구 구의동 659번지,11215,10300,0,0659,0000,11215-100012446
,,,,,,,,0,0,0,,,,,,20160906,,,20161103,,20161105,112,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100012506
,,,,,,,,0,0,0,,,,,,20160907,20160910,,,20160920,20160908,113,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100012526
,,,,,,,,0,0,0,,,,,,20160921,20160928,,,20161005,20160922,114,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100012627
,,,,,,,,0,0,0,,,,,,20160922,,,,,20160923,115,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100012646
,,,,,,,,0,0,0,,,,,,20160928,,,20170919,,20170921,116,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100012706
,,,,,,,,0,0,0,,,,,,20161005,,,,,20161013,117,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100012786
,,,,,,,,0,0,0,,,,,,20161021,,,20170919,,20170921,118,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100012866
,,,,,,,,0,0,0,,,,,,20161101,,,,,20161105,119,서울특별시 광진구 구의동 657번지,11215,10300,0,0657,0000,11215-100012986
,,,,,,,,0,0,0,,,,,,20161104,,,20171020,,20171021,120,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100013006
,,,,,,,,0,0,0,,,,,,20161207,,,,,20180207,121,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100013226
,,,,,,,,0,0,0,,,,,,20161208,,,20171010,,20171014,122,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100013246
,,,,,,,,0,0,0,,,,,,20161209,,,,,20161210,123,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100013266
,,,,,,,,0,0,0,,,,,,20161212,,,,,20161213,124,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100013286
,,,,,,,,0,0,0,,,,,,20161219,,,20170911,,20170912,125,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100013347
,,,,,,,,0,0,0,,,,,,20170103,,,20170817,20170106,20170830,126,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100013506
,,,,,,,,0,0,0,,,,,,20170112,,,,,20170113,127,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100013586
,,,,,,,,0,0,0,,,,,,20170112,,,,,20170113,128,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100013587
,,,,,,,,0,213035.37,0,,,,,,20170119,20170118,,,20170220,20170120,129,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100013626
,,,,,,,,0,0,0,,,,,,20170207,,,,,20170209,130,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100013726
,,,,,,,,0,0,0,,,,,,20170213,,,,,20170214,131,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100013766
,,,,,,,,0,0,0,,,,,,20170220,,,20180326,,20180327,132,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100013806
,,,,,,,,0,0,0,,,,,,20170301,,,20170314,,20170315,133,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100013906
,,,,,,,,0,0,0,,,,,,20170306,,,20170502,,20170512,134,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100013928
,,,,,,,,0,0,0,,,,,,20170313,,,20170329,,20170330,135,서울특별시 광진구 구의동 587-54번지,11215,10300,0,0587,0054,11215-100013946
,,,,,,,,0,0,0,,,,,,20170314,,,,,20170315,136,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100013967
,,,,,,,,0,0,0,,,,,,20170403,,,,,20170406,137,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100014046
,,,,,,,,0,0,0,,,,,,20170403,,,20180212,,20180213,138,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100014048
,,,,,,,,0,0,0,,,,,,20170512,20170518,,,20170608,20170513,139,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100014146
,,,,,,,,0,0,0,,,,,,20170524,,,,,20170525,140,서울특별시 광진구 구의동 610번지,11215,10300,0,0610,0000,11215-100014186
,,,,,,,,0,0,0,,,,,,20170609,,,20170921,20170630,20170922,141,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100014306
,,,,,,,,0,0,0,,,,,,20170711,20170630,,,20170720,20170712,142,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100014526
,,,,,,,,0,0,0,,,,,,20170713,20170720,,,20170810,20170714,143,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100014567
,,,,,,,,0,0,0,,,,,,20170717,,,,,20170718,144,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100014586
,,,,,,,,0,0,0,,,,,,20170731,,,20180410,,20180411,145,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100014666
,,,,,,,,0,0,0,,,,,,20170803,,,,,20170804,146,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100014726
,,,,,,,,0,0,0,,,,,,20170816,,,,,20170830,147,서울특별시 광진구 구의동 587-54번지,11215,10300,0,0587,0054,11215-100014827
,,,,,,,,0,0,0,,,,,,20170825,,,20180208,,20180209,148,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100014866
,,,,,,,,0,0,0,,,,,,20170914,,,,,20170915,149,서울특별시 광진구 구의동 610번지,11215,10300,0,0610,0000,11215-100015006
,,,,,,,,0,0,0,,,,,,20171010,,,,,20171014,150,서울특별시 광진구 구의동 587-54번지,11215,10300,0,0587,0054,11215-100015086
,,,,,,,,0,0,0,,,,,,20171101,,,,,20171118,151,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100015266
,,,,,,,,0,0,0,,,,,,20171106,,,,,20171118,152,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100015286
,,,,,,,,0,0,0,,,,,,20171110,,,20180130,20171206,20180131,153,서울특별시 광진구 구의동 587-54번지,11215,10300,0,0587,0054,11215-100015326
,,,,,,,,0,0,0,,,,,,20171113,,,20180510,,20180511,154,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100015346
,,,,,,,,0,213035.37,0,,,,,,20171127,20171127,,,20171227,20171219,155,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100015406
,,,,,,,,0,0,0,,,,,,20171127,,,20180308,,20180309,156,서울특별시 광진구 구의동 587-54번지,11215,10300,0,0587,0054,11215-100015409
,,,,,,,,0,0,0,,,,,,20171208,,,,,20171219,157,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100015426
,,,,,,,,0,0,0,,,,,,20180125,,,20180702,,20180704,158,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100015690
,,,,,,,,0,0,0,,,,,,20180402,,,20180509,,20180510,159,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100016026
,,,,,,,,0,246440,0,,,,,,20180405,,,20180502,,20180505,160,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100016046
,,,,,,,,0,0,0,,,,,,20180409,,,20180717,,20180718,161,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100016086
,,,,,,,,0,36306.16,0,,,,,,20180410,,,20180720,20180420,20180721,162,서울특별시 광진구 구의동 587-54번지,11215,10300,0,0587,0054,11215-100016106
,,,,,,,,0,0,0,,,,,,20180521,,,20180521,,20180522,163,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100016346
,,,,,,,,0,0,0,,,,,,20180530,,,20180618,,20180619,164,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100016406
,,,,,,,,0,12504.41,0,,,,,,20180611,20180608,,,20180630,20180612,165,서울특별시 광진구 구의동 657번지,11215,10300,0,0657,0000,11215-100016446
,,,,,,,,0,0,0,,,,,,20180619,,,20180716,20180708,20180717,166,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100016466
,,,,,,,,0,0,0,,,,,,20180621,,,20180703,,20180704,167,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100016486
,,,,,,,,0,11219.198,0,,,,,,20180703,,,,,20180704,168,서울특별시 광진구 구의동 660번지,11215,10300,0,0660,0000,11215-100016566
,,,,,,,,0,0,0,,,,,,20180709,,,,,20180710,169,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100016586
,,,,,,,,0,0,0,,,,,,20180716,,,20181108,,20181109,170,서울특별시 광진구 구의동 631-1번지,11215,10300,0,0631,0001,11215-100016626
,,,,,,,,0,0,0,,,,,,20180719,,,,,20180720,171,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100016646
,,,,,,,,0,0,0,,,,,,20180720,,,20181024,20180803,20181025,172,서울특별시 광진구 구의동 611번지,11215,10300,0,0611,0000,11215-100016666
