°Ç¹°¸í,Æ¯¼öÁö¸í,ºí·Ï,·ÎÆ®,¿ëµµÄÚµå,¿ëµµÄÚµå¸í,±¸Á¶ÄÚµå,±¸Á¶ÄÚµå¸í,ÁÖ°ÇÃà¹°¼ö,¿¬¸éÀû(§³),ÃÑ¼¼´ë¼ö(¼¼´ë),Ã¶°Å¸ê½Ç±¸ºÐÄÚµå,Ã¶°Å¸ê½Ç±¸ºÐÄÚµå¸í,Ã¶°Å½ÃÀÛÀÏ,Ã¶°ÅÁ¾·áÀÏ,Ã¶°Å¸ê½ÇÀÏ,°ÇÃàÇã°¡ÀÏ,Âø°ø¿¹Á¤ÀÏ,Âø°øÀÏ,»ç¿ë°Ë»çÀÏ,»ç¿ë°Ë»ç¿¹Á¤ÀÏ,»ý¼ºÀÏÀÚ,¼ø¹ø,´ëÁöÀ§Ä¡,½Ã±º±¸ÄÚµå,¹ýÁ¤µ¿ÄÚµå,´ëÁö±¸ºÐÄÚµå,¹ø,Áö,°ü¸®ÁÖÅÃ´ëÀåPK
,,,,,,,,0,0,0,,,,,,20140527,,,,,20140601,76,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 218-1¹øÁö,11215,10400,0,218,1,11215-100008185
,,,,,,,,0,0,0,,,,,,20140528,,,,,20140601,77,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 218-1¹øÁö,11215,10400,0,218,1,11215-100008205
,,,,,,,,0,0,0,,,,,,20140605,,,,,20140606,78,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 218-1¹øÁö,11215,10400,0,218,1,11215-100008226
,,,,,,,,0,6654.45,0,,,,,,20140610,,,,,20140611,79,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 145-8¹øÁö,11215,10400,0,145,8,11215-100008245
,,,,,,,,0,0,0,,,,,,20140612,,,,,20140613,80,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 484¹øÁö,11215,10400,0,484,0,11215-100008265
,,,,,,,,0,0,0,,,,,,20140613,,,20140721,,20140722,81,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 577¹øÁö,11215,10400,0,577,0,11215-100008285
,,,,,,,,0,0,0,,,,,,20140613,,,,,20140614,82,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 577¹øÁö,11215,10400,0,577,0,11215-100008286
,,,,,,,,0,0,0,,,,,,20140620,,,,,20140623,83,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 567¹øÁö,11215,10400,0,567,0,11215-100008305
,,,,,,,,0,0,0,,,,,,20140620,,,,,20140623,84,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 218-1¹øÁö,11215,10400,0,218,1,11215-100008306
,,,,,,,,0,0,0,,,,,,20140620,,,,,20140623,85,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 484¹øÁö,11215,10400,0,484,0,11215-100008326
,,,,,,,,0,0,0,,,,,,20140708,,,,,20140710,86,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 577¹øÁö,11215,10400,0,577,0,11215-100008345
,,,,,,,,0,0,0,,,,,,20140711,,,,,20140712,87,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 577¹øÁö,11215,10400,0,577,0,11215-100008365
,,,,,,,,0,0,0,,,,,,20140716,,,,,20140719,88,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 218-1¹øÁö,11215,10400,0,218,1,11215-100008385
,,,,,,,,0,0,0,,,,,,20140716,,,,,20140719,89,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 484¹øÁö,11215,10400,0,484,0,11215-100008386
,,,,,,,,0,0,0,,,,,,20140716,,,20140826,,20140902,90,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 561¹øÁö,11215,10400,0,561,0,11215-100008387
,,,,,,,,0,0,0,,,,,,20140723,,,,,20140724,91,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 484¹øÁö,11215,10400,0,484,0,11215-100008425
,,,,,,,,0,0,0,,,,,,20140725,,,,,20140726,92,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 484¹øÁö,11215,10400,0,484,0,11215-100008445
,,,,,,,,0,0,0,,,,,,20140801,,,,,20140902,93,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 218-1¹øÁö,11215,10400,0,218,1,11215-100008486
,,,,,,,,0,0,0,,,,,,20140806,,,,,20140902,94,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 554-7¹øÁö,11215,10400,0,554,7,11215-100008505
,,,,,,,,0,0,0,,,,,,20140813,,,,,20140902,95,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 484¹øÁö,11215,10400,0,484,0,11215-100008525
,,,,,,,,0,0,0,,,,,,20140826,,,,,20140902,96,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 566¹øÁö,11215,10400,0,566,0,11215-100008565
,,,,,,,,0,0,0,,,,,,20140905,,,,,20140906,97,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 145-8¹øÁö,11215,10400,0,145,8,11215-100008605
,,,,,,,,0,0,0,,,,,,20140905,,,,,20140906,98,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 484¹øÁö,11215,10400,0,484,0,11215-100008606
,,,,,,,,0,0,0,,,,,,20140911,,,,,20140913,99,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 554-7¹øÁö,11215,10400,0,554,7,11215-100008625
,,,,,,,,0,0,0,,,,,,20140917,,,,,20140919,100,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 484¹øÁö,11215,10400,0,484,0,11215-100008645
,,,,,,,,0,0,0,,,,,,20140925,,,,,20140927,101,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 484¹øÁö,11215,10400,0,484,0,11215-100008665
,,,,,,,,0,0,0,,,,,,20140930,,,,,20141003,102,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 565¹øÁö,11215,10400,0,565,0,11215-100008685
,,,,,,,,0,0,0,,,,,,20140930,20141002,,,20141020,20141003,103,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 218-1¹øÁö,11215,10400,0,218,1,11215-100008686
,,,,,,,,0,0,0,,,,,,20141007,,,,,20141013,104,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 218-1¹øÁö,11215,10400,0,218,1,11215-100008705
